temperature,humidity,rainfall,AQI,age_group,location,heat_risk,dengue_risk,asthma_risk
37.48357077,67.92603548,39.50237081,75.52479528,Elderly,Slum,Moderate,Moderate,Low
36.59451092,74.18561938,36.93750185,160.4206114,Elderly,Urban,Moderate,Moderate,High
32.65262807,78.13840065,6.020369662,97.14479337,Elderly,Slum,Low,Low,Low
30.37958581,30.81176481,10.32668978,158.0147873,Child,Slum,Low,Low,High
29.9358444,74.71370999,10.36546536,91.86624793,Elderly,Urban,Low,Low,Low
24.30189672,60.55787559,21.66087465,143.9088187,Elderly,Rural,Low,Low,Moderate
32.27808638,71.66383885,28.05999062,95.989846,Child,Urban,Low,Low,Low
39.73719911,74.36551002,17.40272528,94.57761039,Elderly,Slum,High,Low,Low
34.93251388,54.13433607,1.049811643,110.8219818,Adult,Urban,Low,Low,Moderate
36.94674457,51.02321329,22.02332688,163.6796906,Child,Slum,Moderate,Low,High
28.35906976,72.95291854,104.784214,128.7455326,Elderly,Slum,Low,Moderate,Moderate
39.40880519,54.86371986,9.496813296,56.66823146,Adult,Urban,Moderate,Low,Low
32.69680615,85.85683339,9.894085204,74.77790781,Elderly,Rural,Low,Low,Low
35.67214441,78.73184192,39.16988726,155.5099384,Elderly,Slum,Moderate,Moderate,High
30.80391238,65.36181436,59.65588715,59.67386842,Child,Slum,Low,Moderate,Low
40.49823488,67.33401818,11.7994264,103.5846677,Elderly,Slum,High,Low,Moderate
39.06262911,90.34360043,65.46755737,78.48680494,Elderly,Urban,High,High,Low
34.62098127,84.59445301,24.71662485,151.8238186,Child,Urban,Low,Low,High
34.8208698,93.46965484,22.19036516,104.0544644,Child,Urban,Low,Low,Moderate
34.69567956,48.71874312,21.31311531,161.6996647,Elderly,Slum,Low,Low,High
33.90164056,75.35668857,15.84845925,88.42966685,Child,Urban,Low,Low,Low
38.71855642,66.81757867,5.274250755,102.9252482,Adult,Urban,High,Low,Moderate
39.57701059,74.93126664,48.83906822,174.8744853,Elderly,Rural,High,Moderate,High
35.87776647,65.3606718,3.497764804,146.9250201,Elderly,Slum,Moderate,Low,Moderate
